WHO region,ITZ,COUNTRY/AREA/TERRITORY,COUNTRY_CODE,ORIGIN_SOURCE,ISO_YEAR,ISO_WEEK,ISO_SDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BVIC,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY
SEAR,Southern Asia,India,IND,NONSENTINEL,2021,32,2021-08-08T18:30:00.000Z,2767,2767,,34,339,,,373,9,,,9,382,2385,3
SEAR,Southern Asia,India,IND,NONSENTINEL,2021,33,2021-08-15T18:30:00.000Z,3436,3436,,31,429,,,460,16,,,16,476,2960,3
SEAR,Southern Asia,India,IND,NONSENTINEL,2021,34,2021-08-22T18:30:00.000Z,2154,2154,,21,326,,,347,24,,,24,371,1783,3
SEAR,Southern Asia,India,IND,NONSENTINEL,2021,35,2021-08-29T18:30:00.000Z,2438,2438,,18,288,,,306,67,,,67,373,2065,3
SEAR,Southern Asia,India,IND,NONSENTINEL,2021,36,2021-09-05T18:30:00.000Z,2492,2492,,4,180,,,184,144,,7,151,335,2157,3
SEAR,Southern Asia,India,IND,NONSENTINEL,2021,37,2021-09-12T18:30:00.000Z,1991,1991,,11,88,,,99,117,,17,134,233,1758,3
SEAR,Southern Asia,India,IND,NONSENTINEL,2021,38,2021-09-19T18:30:00.000Z,3088,3088,,5,96,,,101,204,,16,220,321,2767,3
SEAR,Southern Asia,India,IND,NONSENTINEL,2021,39,2021-09-26T18:30:00.000Z,2752,2752,,3,67,,,70,263,,2,265,335,2417,3
SEAR,Southern Asia,India,IND,NONSENTINEL,2021,40,2021-10-03T18:30:00.000Z,2509,2509,,4,24,,,28,208,,19,227,255,2254,3
SEAR,Southern Asia,India,IND,NONSENTINEL,2021,41,2021-10-10T18:30:00.000Z,2005,2005,,2,19,,,21,166,,10,176,197,1808,3
SEAR,Southern Asia,India,IND,NONSENTINEL,2021,42,2021-10-17T18:30:00.000Z,2194,2194,,,6,,,6,139,,20,159,165,2029,3
SEAR,Southern Asia,India,IND,NONSENTINEL,2021,43,2021-10-24T18:30:00.000Z,2020,2020,,,4,,,4,98,,12,110,114,1906,3
SEAR,Southern Asia,India,IND,NONSENTINEL,2021,44,2021-10-31T18:30:00.000Z,1631,1631,,,1,,,1,40,,6,46,47,1584,3
SEAR,Southern Asia,India,IND,NONSENTINEL,2021,45,2021-11-07T18:30:00.000Z,903,903,,,,,,,11,,3,14,14,889,2
SEAR,Southern Asia,India,IND,NONSENTINEL,2021,46,2021-11-14T18:30:00.000Z,1830,1830,,,,,,,18,,10,28,28,1802,2
SEAR,Southern Asia,India,IND,NONSENTINEL,2021,47,2021-11-21T18:30:00.000Z,1144,1144,,1,1,,,2,3,,11,14,16,1128,3
SEAR,Southern Asia,India,IND,NONSENTINEL,2021,48,2021-11-28T18:30:00.000Z,987,987,,1,,,,1,8,,1,9,10,977,3
SEAR,Southern Asia,India,IND,NONSENTINEL,2021,49,2021-12-05T18:30:00.000Z,1577,1577,,3,3,,,6,2,,11,13,19,1558,3
SEAR,Southern Asia,India,IND,NONSENTINEL,2021,50,2021-12-12T18:30:00.000Z,837,837,,,,,,,2,,,2,2,835,3
SEAR,Southern Asia,India,IND,NONSENTINEL,2021,51,2021-12-19T18:30:00.000Z,2404,2404,,,1,,,1,,,3,3,4,2400,3
SEAR,Southern Asia,India,IND,NONSENTINEL,2021,52,2021-12-26T18:30:00.000Z,1973,1973,,,3,,,3,,,1,1,4,1969,3
SEAR,Southern Asia,India,IND,NONSENTINEL,2022,1,2022-01-02T18:30:00.000Z,1704,1704,,,,,,,,,5,5,5,1699,3
SEAR,Southern Asia,India,IND,NONSENTINEL,2022,2,2022-01-09T18:30:00.000Z,3258,3258,,,,,,,3,,3,6,6,3252,3
SEAR,Southern Asia,India,IND,NONSENTINEL,2022,3,2022-01-16T18:30:00.000Z,3155,3155,,,,,,,1,,,1,1,3154,3
